satellite,number,uplink,downlink,beacon,mode,callsign,status
SelfieSat,53951,,437.500,,9600bps 2FSK,WJ2XOX,active
Serenity,,,437.100,,4800bps AFSK,,failure
Serenity-2,,,437.100,,4800bps AFSK,,re-entered
SERPENS,40897,,145.980/437.365,,1k2 MSK/9k6 GFSK CW,PY0ESA,re-entered
SGSat,42703,,437.450,,9600bps FSK,,unknown
Shaonian-Xing(Juvenile-1F),43199,,,436.370,9600bps BPSK,MXSAT-1,active
ShindaiSat,39572,,437.305,437.485,1200bps AFSK CW,JR0ZST,re-entered
SHIN'EN2 (FO-82),40320,145.940-145.960,435.280-435.260,437.385/437.505,SSB WSJT/CW,JG6YIG,deep space
SIMBA,47941,,435.310,,9600bps GMSK,,unknown
Siren (SXC3-217),53384,,437.750,,2400bps GMSK USP,RS30S,active
SiriusSat-1(SXC1-181 RS13S),43595,,435.570/435.619,,4800bps GMSK,RS13S,re-entered
SiriusSat-2(SXC1-182 RS14S),43596,,435.670/435.719,,4800bps GMSK,RS14S,re-entered
skCUBE,42789,437.100,437.100/2401.000,437.100,9600bps GMSK Digipeater CW,OM9SAT,inactive
Skoltech-B1,53379,,435.000*/435.600,,9600bps GMSK USP,R0AJU-1,active
Skoltech-B2,53380,,435.000*/435.600,,9600bps GMSK USP,R0AJU-1,active
SkyCube,39567,,915.000,,57.6Kbps,,non-amateur
SMOG-1 (MO-110),47964,,437.345,437.345,2GMSK CW,,active
SMOG-P (MO-105),44832,,437.150,,12.5kbps GMSK,,active
SNet-A,43186,,435.950/2263.000,,1k2*/2k4 FFSK,DP0TBB,inactive
SNet-B,43187,,435.950/2263.000,,1k2*/2k4 FFSK,DP0TBC,inactive
SNet-C,43188,,435.950/2263.000,,1k2*/2k4 FFSK,DP0TBD,inactive
SNet-D,43189,,435.950/2263.000,,1k2*/2k4 FFSK,DP0TBE,inactive
SNUGLITE,43784,,437.275/2405.000,,9600bps GMSK,,inactive
SNUGLITE-II,52899,,436.490/2405.000,,1k2 BPSK 9k6*GMSK,DS0DH,unknown
SNUSAT-1 (KR02),42733,,436.090,,1200bps BPSK,ON02KR,re-entered
SNUSAT-2,43782,,437.625/2402.000,,9k6 BPSK/1.06Mbit DQPSK,,inactive
SNUSAT-1b (KR03),42727,,435.950,,1200bps BPSK,ON03KR,re-entered
SOAR,48851,,401.723,,,,non-amateur
Sokrat,44404,,436.000,,4800bps mobitex GMSK,,active
SOCRATES,39768,,,,,,non-amateur
SOCRATES,,,914.700,,,,unknown
SOHLA-1 (MAIDO-1),33496,,437.505,437.505,1200bps AFSK CW,JL3YUS,inactive
SOMP,39134,,437.485,437.503,1200bps AFSK CW*,DP0TUD,active
SOMP-2 (DE02),42701,,437.405,,9600bps GMSK,,inactive
SOMP-2B,47445,,435.600,,9600bps GMSK,DP2TUD,active
SONATE,44400,,145.840/437.025,,9k6GMSK/GSFK SSTV,,unknown
SORTIE (Helio-5),,450.000,468.000,,,,unknown
SO-33 (SEDSAT-1),25509,,437.910,,9600bps FSK,SEDSAT-1,inactive
SO-35 (SUNSAT-1),25636,436.291,145.825/2250.000,,9600bps FM,SUNSAT-3,inactive
SO-41 (SaudiSat-1A),26545,,436.775,,9600bps FSK,SASAT1-11 12,inactive
SO-42 (SaudiSat-1B),26549,,436.075,,9600bps FSK,SASAT2-11 12,inactive
SO-43 (Starshine),26929,,,145.820,9600bps FSK,STRSHN,re-entered
SO-50 (SaudiSat-1C),27607,145.850,436.795,,FM* tone 67.0Hz,,active
SO-67 (SumbandilaSat),35870,145.875,435.345,435.300,FM tone 233.6Hz,,inactive
SO-114 (EASAT-2),51081,145.875,436.666,436.666,1k2/2k4 AFSK APRS FM CW*,AM5SAT,active
SO-115 (HADES),51080,145.925,436.888,436.888,1k2/2k4 AFSK FM APRS CW,AM6SAT,inactive
SpaceCube (FR05),42717,145.860,436.880,,1200bps AFSK FM,ON05FR,re-entered
Sparrow (D-Star ONE),43881,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP1GOS,active
SPATIUM-I,43638,,401.000/467.000,,,,non-amateur
SpinSat,40314,,437.230,,9600bps GFSK,,inactive
SPOC,46921,,437.350/2401.300,,9k6 GMSK/2Mbps QPSK,MOCI-1,inactive
SpooQy-1,44332,,435.300/436.200*/437.500,,4k8/9k6* GMSK,,re-entered
SporeSat,39681,,2401.200-2431.200,437.100,1200bps AFSK,,unknown
Sprites,,,437.240/437.325,,125bps MSK,,unknown
Sprites,,,437.240,,CDMA,,re-entered
SPROUT,39770,,437.525,437.525,1k2AFSK 9k6GMSK CW*,JQ1ZJQ,active
SPROUT,39770,437.600,437.600,,Digipeater Digitalker SSTV,,inactive
SRMSAT,37841,145.900,437.500,437.425,CW,,inactive
SSETI (XO-53),28894,,437.250,,9600bps FSK,SSETI1,inactive
STACEM,,,,,,,failure
StangSat,,,,,,,unknown
STARS (KUKAI mother),33498,,437.485,437.305,1200bps FM CW*,JR5YBN,active
STARS (KUKAI daughter),33498,,437.465,437.275,1200bps FM CW*,JR5YBO,active
STARS-AO,43679,,437.400*/437.200,437.350,1k2*AFSK 115kGMSK CW,JJ2YSY,inactive
STARS-C (mother),41895,,437.405,437.245,1200bps FM CW,JJ2YPL,re-entered
STARS-C (daughter),41895,,437.425,437.255,1200bps FM CW,JJ2YPM,re-entered
STARS-EC(A),47928,,437.405/437.200,437.245,115k2 CW,JJ2YVA,re-entered
STARS-EC(B),47928,,437.425/437.200,437.255,115k2 CW,JJ2YVB,re-entered
STARS-EC(C),47928,,437.400/437.200,437.350,115k2 CW,JJ2YVC,re-entered
STARS-II (mother),39579,,437.405,437.245,1200bps AFSK CW,JR5YDX,re-entered
STARS-II (daughter),39579,,437.425,437.255,1200bps AFSK CW,JR5YDY,re-entered
STARS-Me (mother),43640,,437.405,437.245,1k2AFSK 9k6GMSK CW,JJ2YPL,inactive
STARS-Me (daughter),43640,,437.425,437.255,1k2AFSK 9k6GMSK CW,JJ2YPM,inactive
STECCO,47962,,435.800,,9600bps FSK,,inactive
STEP CubeLab (STEP-1),43138,,437.485,437.485,9600bps FSK CW*,,active
STEP CubeLab-II,52897,,437.485,,9600bps GMSK,STEP2,active
STMSat-1,41476,,437.000/437.800,,9600bps GMSK SSTV,,inactive
STRaND-1,39090,,437.568,,9600bps GMSK,,active
StudSat,36796,437.505,437.505,437.861,9600bps FSK CW,,inactive
STU-1,,,2402.000-2445.000,436.360,9600bps GMSK,,failure
SUCHAI,42788,,437.225,437.229,CW,SUCHAI,active
SUCHAI-2,52192,,437.230,,4800bps FSK,,active
SUCHAI-3,52191,,437.250,,4800bps FSK,,active
SuitSat-1 (AO-54),28933,,145.990,,FM,,unknown
SuitSat-2 (ARISSat-1),37772,435.742-435.758,145.938-145.922,145.919,FM linear/inverting,,re-entered
SuitSat-2 (ARISSat-1),37772,,145.950,,FM SSTV Telemetry,,re-entered
SuitSat-2 (ARISSat-1),37772,,145.918,145.919,BPSK-1000/CW,RS01S,re-entered
SuitSat-2 (ARISSat-1),37772,,145.939,145.939,BPSK-400/CW,,re-entered
SumbandilaSat (SO-67),35870,145.875,435.345,435.300,FM tone 233.6Hz,,inactive
Suomi-100,43804,,437.775/2410.000,,9600bps GMSK,,active
Supernova-Beta,,,437.570,,1200bps AFSK,,failure
SurfSat,43614,,437.275,,9600bps FSK,,inactive
SUSat (AU01),42730,,436.775,,9600bps FSK,,inactive
SwampSat,39402,,437.385,,9600bps FSK,,re-entered
SwampSat-2,45115,,145.875/436.600*/2432.000,,9k6 GMSK/3Mbps QPSK,WK2XID,re-entered
Swayam COEP,41607,,437.025,437.025,1200bps BPSK CW,SWAYAM,inactive
Swiatowid,44426,436.000,145.850/435.500*/2435.000,,1k2*AFSK/9k6GFSK,SR9SAT-6,re-entered
SwissCube-1,35932,,437.505,437.505,1200*bps BFSK CW,HB9EG1,inactive
SWSU-55 No1 (SWGU No5),,,437.050/437.050,,1k145 AFSK SSTV AUDIO,RS10S,inactive
SWSU-55 No2 (SWGU No6),,,437.050/437.062,,1k145 AFSK SSTV AUDIO,RS11S,inactive
SWSU-55 No3 (SWGU No7),53309,,437.050/437.075,,1k145 AFSK SSTV AUDIO,RS1S,active
SWSU-55 No4 (SWGU No8),,,437.050/437.082,,1k145 AFSK SSTV AUDIO,RS2S,inactive
SWSU-55 No5 (SWGU No9),53308,,437.050/437.100,,1k145 AFSK SSTV AUDIO,RS3S,active
SWSU-55 No6 (SWGU No10),53321,,437.050/437.087,,1k145 AFSK SSTV AUDIO,RS4S,active
SWSU-55 No7 (SWGU No11),53310,,437.050/437.1125,,1k145 AFSK SSTV AUDIO,RS5S,active
SWSU-55 No8 (SWGU No12),53311,,437.050/437.000,,1k145 AFSK SSTV AUDIO,RS6S,active
SXC3-212 (MGU MONITOR-1),53374,,437.550,,2400bps GMSK USP,RS32S,active
SXC3-213 (HSE-AIS CubeSX-HSE-2),53383,,435.570,,2400bps GMSK USP,RS21S,active
SXC3-214 (MIET-AIS),53377,,437.900,,2400bps GMSK USP,RS28S,active
SXC3-215 (Vizard),53386,,437.800,,2400bps GMSK USP,RS33S,active
SXC3-216 (UTMN),53376,,435.670,,2400bps GMSK USP,RS23S,active
SXC3-217 (Siren),53384,,437.750,,2400bps GMSK USP,RS30S,active
SXC3-218 (KuzSTU KUZBASS-300),53375,,437.700,,2400bps GMSK USP,RS34S,active
SXC3-219 (Medex ISOI),53381,,437.650,,2400bps GMSK USP,RS19S,active
SXC3-2110 (Voenmeh),53373,,436.050,,2400bps GMSK USP,RS29S,active
SXC3-2111 (SibSU RESHUCUBE),53382,,435.380,,2400bps GMSK USP,RS8S,active
TabletSat-Aurora,40017,,435.550/436.100,437.050,9600bps GMSK D-STAR,,inactive
Tancredo-1 (UbatubaSat),41391,,437.200,437.200,1200bps AFSK CW,PY0ETA,re-entered
Tanusha-SWSU-1 (RS-6S),42911,,437.050,145.800,9600bps FSK Voice,RS6S,inactive
Tanusha-SWSU-2 (RS-7S),42912,,437.050,145.800,9600bps FSK Voice,RS7S,inactive
Tanusha-SWSU-3 (RS-8S),43597,,437.050,,1200bps AFSK Voice,RS8S,inactive
Tanusha-SWSU-4 (RS-9S),43598,,437.050,,1200bps AFSK Voice,RS9S,inactive
TARGIT,51440,,437.285,,9k6 FSK*/MSK/GFSK/GMSK,T4RG1T,re-entered
TartanArtibeus-1,,,437.170,,3000bps FSK,,unknown
Taurus-1,44530,145.820,436.760,435.840,9600bps BPSK FM,,inactive
Tausat-1,47926,,436.400,436.400,9600bps BPSK CW,TAUSAT-1,re-entered
TBEx-A,44356,,437.485,,9600bps GMSK,KF6RFX,active
TBEx-B,44359,,437.485,,9600bps GMSK,KF6RFX,active
TechEdSat-1,38854,,437.465,437.465,1200bps FM CW,KJ6TVO,re-entered
TechEdSat-3,39415,,437.465,437.465,1200bps AFSK CW,,inactive
TechEdSat-4,40455,,,,,,unknown
TechEdSat-5,42066,,,,,,re-entered
TechEdSat-6,,,,,,,unknown
TechnoSat,42829,,435.950,435.950,4k8*/9k6 GMSK CW,DP0TBA,inactive
TechSat-1B (GO-32),25397,145.850/145.930,435.225*/435.325,,9600bps FSK,4XTECH-11 12,active
TeikyoSat-3,39576,,437.450,437.450,1200bps AFSK CW,JQ1ZKM,re-entered
TeikyoSat-4,49396,,437.450/5831.000,437.450,1k2AFSK/9k6GMSK/115k2FSK CW*,JS1YHH,active
Ten-Koh,43677,,437.390,437.390,1k2AFSK 9k6*GMSK CW WSJT,JG6YKY,inactive
TEPCE-1/2,,,,,,,unknown
TetherSat,,,437.100/437.305,,9600bps GFSK,,inactive
Tevel-1,51013,145.970,436.400,,9600bps BPSK FM,T1OFK,active
Tevel-2,51069,145.970,436.400,,9600bps BPSK FM,T2YRC,active
Tevel-3,50988,145.970,436.400,,9600bps BPSK FM,T3TYB,active
Tevel-4,51063,145.970,436.400,,9600bps BPSK FM,T4ATA,active
Tevel-5,50998,145.970,436.400,,9600bps BPSK FM,T5SNG,active
Tevel-6,50999,145.970,436.400,,9600bps BPSK FM,T6NZR,active
Tevel-7,51062,145.970,436.400,,9600bps BPSK FM,T7ADM,active
Tevel-8,50989,145.970,436.400,,9600bps BPSK FM,T8GBS,active
Tianwang-1A (TW-1A SECM-1),40928,,435.645,,4k8*/9k6 GMSK,,active
Tianwang-1B (TW-1B NJUST-2),40927,,437.645,,4k8*/9k6 GMSK,,inactive
Tianwang-1C (TW-1C NJFA-1),40926,,435.645,,4k8*/9k6 GMSK,,active
Tianyi-1 (TY-1 Xiaoxiang-1),41842,,437.500/437.525,2401.600,9600bps GMSK,,unknown
Tianyi-2 (TY-2 Xiaoxiang-2),43155,435.350/2403.000/5653.000,435.350*/2403.000/5833.000,,9k6 GMSK/5Mbps OFDM,,active
Tianyi-3 (TY-3 Xiaoxiang-3),43664,435.875/2406.000/5656.000,435.875/2406.000/5836.000,,9k6 GMSK/5Mbps OFDM,,unknown
Tianyi-4 (TY-4 Xiaoxiang-4),43669,435.925/2409.000/5659.000,435.925*/2409.000/5839.000,,9k6 GMSK/5Mbps OFDM,,active
Tianyi-5 (TY-5 Xiaoxiang-5),43553,436.025/2412.000/5665.000,436.025/2412.000/5842.000,,9k6 GMSK/5Mbps OFDM,,unknown
Tianyi-6 (TY-6 Xiaoxiang-6 Quantutong-1),43158,436.100/2415.000/5667.000,436.100*/2415.000/5845.000,,9k6 GMSK/5Mbps OFDM,,inactive
TigriSat,40043,,435.000,,9600bps FSK,HNATIG,active
TIsat-1,36799,145.980,437.305,145.980,FM AFSK PSK CW,HB9DE,inactive
TiungSat (MO-46),26548,145.850/145.925,437.325,,38400bps FSK,MYSAT3-11 12,inactive
TJ3Sat,39385,,,437.320,CW,,inactive
TJREVERB,,,145.825,,APRS,,unknown
Toki (BIRD-J),42820,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJO,re-entered
Tomsk-TPU-120 (RS04S),42910,,437.025,145.800,9600bps FSK Voice,RS4S,inactive
TO-31 (TMSAT-1),25396,145.925/145.975,436.925/436.900,,9600bps FSK,TMSAT1-11 12,inactive
TO-89 (ITF-2),41932,,437.525,437.525,1200bps FM CW,JQ1ZTK,re-entered
TO-108 (CAS-6 TIANQIN-1),44881,435.270-435.290,145.935-145.915,,SSB*,,active
TO-108 (CAS-6 TIANQIN-1),44881,,145.890,,4800bps GMSK,BJ1SO,inactive
TO-108 (CAS-6 TIANQIN-1),44881,,,145.910,CW,BJ1SO,inactive
Trailblazer-1,39400,,437.425,,9600bps FSK,,inactive
Triton-1,39427,435.xxx,145.818/145.823*,2408.000,1200bps RC-BPSK CW,TRIV0 TRIV1,inactive
TRISAT,46280,145.900,436.500,435.6125,9600bps GMSK CCSDS,,unknown
TRISAT-R,53108,,435.613,,1kbps GFSK,,inactive
TRSI-Sat (TRSI-1),44831,,437.075,437.075,MFSK CW,,inactive
TRSI-2,52419,,437.075,,2400bps BPSK,,active
TRSI-3,52420,,437.075,437.075,MFSK CW,,active
TSAT (TestSat-Lite),39682,,,,,,unknown
Tsiolkovsky_Ryazan-1,53312,,437.050/437.025,,1k145 AFSK SSTV AUDIO,RS9S,active
Tsiolkovsky_Ryazan-2,53313,,437.050/437.0125,,1k145 AFSK SSTV AUDIO,RS12S,active
TSUBAME,40302,,437.505,437.275,1200bps AFSK CW,JQ1ZHX,inactive
Tsuru (BIRDS-4),47927,145.825,145.825,437.375,4k8*FSK APRS CW,JG6YMX,re-entered
TTU100,46312,,435.450*/10465.000,ES1WS,9k6* FSK/GMSK/MSK/OQPSK,,active
TTU101,44401,,435.450*/435.500/10460.000,,9600bps GFSK/GMSK,,unknown
TUBIN,48900,,435.950,,9600bps GMSK,DP0TBN,inactive
TUMnanoSAT,53464,,436.680,,9600bps GMSK,ER1TUM,inactive
TuPOD,41936,,437.425,437.425,1200bps GMSK CW,TUPOD,re-entered
TURKSAT-3USAT,39152,145.940-145.990,435.200-435.250,437.225,SSB CW,,inactive
TW-1A (Tianwang-1A SECM-1),40928,,435.645,,4k8*/9k6 GMSK,,inactive
TW-1B (Tianwang-1B NJUST-2),40927,,437.645,,4k8*/9k6 GMSK,,re-entered
TW-1C (Tianwang-1C NJFA-1),40926,,435.645,,4k8*/9k6 GMSK,,re-entered
TY-1 (Tianyi-1 Xiaoxiang-1),41842,,437.500/437.525,2401.600,9600bps GMSK,,unknown
TY-2 (Tianyi-2 Xiaoxiang-2),43155,435.350/2403.000/5653.000,435.350*/2403.000/5833.000,,9k6 GMSK/5Mbps OFDM,,inactive
TY-3 (Tianyi-3 Xiaoxiang-3),43664,435.875/2406.000/5656.000,435.875/2406.000/5836.000,,9k6 GMSK/5Mbps OFDM,,unknown
TY-4 (Tianyi-4 Xiaoxiang-4),43669,435.925/2409.000/5659.000,435.925*/2409.000/5839.000,,9k6 GMSK/5Mbps OFDM,,active
TY-5 (Tianyi-5 Xiaoxiang-5),43553,436.025/2412.000/5665.000,436.025/2412.000/5842.000,,9k6 GMSK/5Mbps OFDM,,unknown
TY-6 (Tianyi-6 Xiaoxiang-6 Quantutong-1),43158,436.100/2415.000/5667.000,436.100*/2415.000/5845.000,,9k6 GMSK/5Mbps OFDM,,inactive
UAPSat-1,39571,145.980,437.385,,1200bps AFSK,OA0UAP-1,inactive
UBAKUSAT,43467,145.940-145.990,435.200-435.250,,SSB,,inactive
UBAKUSAT,43467,,437.325,437.225,9600bps GMSK CW,YM1RAS,inactive
UbatubaSat (Tancredo-1),41931,,437.200,437.200,1200bps AFSK CW,PY0ETA,inactive
UCLSat (GB03),42765,,435.975,,9600bps GMSK,ON03GB,inactive
Uguisu (BIRD-JPN),44330,,437.375,437.375,4800bps GMSK CW,JG6YLE,re-entered
UiTMSat-1 (BIRD-MY),43589,145.825,145.825,437.375,APRS digipeater CW,JG6YKN,inactive
UKube-1,40074,435.060-435.080,145.960-145.940,,SSB,,inactive
UKube-1,40074,,145.805/2401.000,145.840,1200bps BPSK CW,UKUBE1,inactive
UniBRITE (CANX-3A),39092,,145.890,145.890,CW,,inactive
UNICORN-1,51076,,401.820,,9600bps FSK,,unknown
UNICORN-2A,51073,,401.820,,9600bps FSK,,unknown
UNICORN-2B (NOOR-1A),,,,,,,unknown
UNICORN-2C (NOOR-1B),,,,,,,unknown
UNICORN-2D,51032,,401.820,,9600bps FSK,,unknown
UNICORN-2E,,,,,,,unknown
UNICubeSAT,38085,,437.305,,9600bps FSK,,inactive
UNIFORM-1,39767,,2228.000,,,,non-amateur
UniSat-5,39421,,437.175/437.425,,9600bps GMSK,,inactive
UniSat-6,40012,,437.421,,9600bps GMSK,II0US,active
UniSat-7,47945,,437.425,,9600bps FSK,II0US,active
UNITEC-1,36578,,5840.000,5840.000,1200bps AFSK CW,JQ1ZUN,deep space
UNSA-SAT1,,,3.4GHz,,230Kbps BPSK,,unknown
UNSW-EC0 (AU02),42723,,436.525/2400.500,,4800bps GMSK,ON02AU,re-entered
UO-9 (UoSAT-1),12888,,145.825/435.025,2401.000,SSB CW,,re-entered
UO-11 (UoSAT-2),14781,,145.826*/435.025,2401.500,(V)FM (S)PSK,UOSAT-2,active
UO-14 (UoSAT-3),20437,145.975,435.070,,FM,,inactive
UO-15 (UoSAT-4),20438,,,435.120,CW,,re-entered
UO-22 (UoSAT-5),21575,145.900/145.975,435.120,,9600bps FSK,UOSAT5-11 12,inactive
UO-36 (UoSAT-12),25693,145.960,437.400/437.025,,38400bps FSK,UO121-11 12,inactive
UPMSat-2,46276,,437.405,,1200bps BFSK,UPMST2,active
UPSat (GR02),42716,,435.765,,9600bps GMSK,GND,inactive
URSA MAIOR (IT02),42776,,435.950,,9600bps FSK,URSAMR,inactive
USNAP1 (BRICSAT2 NO-103),44355,28.120/145.825,145.825/435.350/437.605*,,1k2/9k6* FSK,USNAP1-1,inactive
USS Langley,40652,28.120/145.825,437.475/435.350,2404.000,9600bps FSK PSK31,,inactive
UTMN (SXC3-216),53376,,435.670,,2400bps GMSK USP,RS23S,active
UVSQ-Sat,47438,145.905,437.020,,1k2/9k6* BPSK FM*,LATMOS-1,active
UWE-1,28892,,437.505,,1200bps AFSK,DP0UWE,inactive
UWE-2,35934,,437.385,437.385,1200bps AFSK CW,DP0UWF,inactive
UWE-3,39446,,435.000/436.395/437.385*,,9600bps GMSK CW,DP0UWG,inactive
UWE-4,43880,437.375,435.600*/437.375/437.385,,9600bps FSK Digipeater,DP0UWH,active
VDNH-80,44392,,436.500,,4800bps mobitex,,active
VELOX-I,40057,,145.980,145.980,9600bps FSK CW,VELOXI,inactive
VELOX-P2,39438,437.305,145.980,145.980,1200bps BPSK CW,,inactive
VELOX-2,41171,,145.930,145.930,1200bps BPSK CW,VELOX2,inactive
VELOX-III,41935,,437.375,437.375,1200bps AFSK CW,JG6YBW,active
VELOX-IV,,,437.225,,9600bps GMSK,,to be launched
Venta-1,42791,,437.325/2289.250,,9600bps,YL1VA,inactive
Vermont Lunar,39407,,437.305,,9600bps FSK,W1VTC2,re-entered
VisionCube,,,437.425,,9600bps GMSK,,unkown
Vizard (SXC3-215),53386,,437.800,,2400bps GMSK USP,RS33S,active
Voenmeh (SXC3-2110),53373,,436.050,,2400bps GMSK USP,RS29S,active
VO-52 (Hamsat),28650,435.220-435.280,145.930-145.870,145.936,SSB Carrier,Indian,inactive
VO-52 (Hamsat),28650,435.225-435.275,145.925-145.875,145.860,SSB CW,Dutch,inactive
VO-96 (ExseedSat-1),43758,435.340,145.900,,FM CTCSS 67.0Hz,,unknown
VZLUsat-1 (CZ02),42790,,437.240,437.240,4800bps MSK CW*,VZLUSAT1,active
VZLUsat-2,51085,,437.325,,1k2/4k8/9k6 GMSK,,active
WARP-01,47924,,437.425,437.425,1k2GFSK 4FSK CW*,JQ1ZTK,re-entered
WASEDA-SAT-ZERO,,,437.200,437.200,1k2FSK CW,,failure
WASEDA-SAT2,36574,,437.485,437.485,1200bps PCM-FSK CW,WASEDA,re-entered
WASEDA-SAT3,41933,,437.290,437.290,1200bps PCM-FSK CW,,inactive
WE_WISH,38856,,437.515,437.505,2400bps FM SSTV CW,JQ1ZIJ,re-entered
WNISAT-1,39423,,467.674,,,,non-amateur
WO-18 (WEBERSAT),20441,,437.104/437.075,,1200bps PSK,,inactive
WO-39 (JAWSAT),26061,145.860,437.070/437.175,,9600bps FSK,,inactive
Wren,39435,,437.405,437.405,1200bps FSK CW,,inactive
Xatcobeo,38082,,437.365/145.940,437.365,1200bps FFSK SSR CW,,re-entered
Xiaoxiang-1 (TY-1 Tianyi-1),41842,,437.500/437.525,2401.600,9600bps GMSK,,unknown
Xiaoxiang-2 (TY-2 Tianyi-2),43155,435.350/2403.000/5653.000,435.350*/2403.000/5833.000,,9k6 GMSK/5Mbps OFDM,,active
Xiaoxiang-3 (TY-3 Tianyi-3),43664,435.875/2406.000/5656.000,435.875/2406.000/5836.000,,9k6 GMSK/5Mbps OFDM,,unknown
Xiaoxiang-4 (TY-4 Tianyi-4),43669,435.925/2409.000/5659.000,435.925*/2409.000/5839.000,,9k6 GMSK/5Mbps OFDM,,active
Xiaoxiang-5 (TY-5 Tianyi-5),43553,436.025/2412.000/5665.000,436.025/2412.000/5842.000,,9k6 GMSK/5Mbps OFDM,,unknown
Xiaoxiang-6 (TY-6 Tianyi-6 Quantutong-1),43158,436.100/2415.000/5667.000,436.100*/2415.000/5845.000,,9k6 GMSK/5Mbps OFDM,,inactive
X-CubeSat (FR01),42707,145.860,437.020,,1200bps AFSK FM,ON01FR,re-entered
XI-IV (CO-57),27848,,437.490,436.848,1200bps AFSK CW*,JQ1YCW,active
XI-V (CO-58),28895,,437.345,437.465,1200bps AFSK CW*,JQ1YGW,active
XO-53 (SSETI),28894,,437.250,,9600bps FSK,SSETI1,inactive
XW-1 (HO-68 CAS-1),36122,145.925-145.975,435.765-435.715,,SSB inverting,BJ1SA-11 12,inactive
XW-1 (HO-68 CAS-1),36122,145.825,435.675,,FM tone 67Hz,,inactive
XW-1 (HO-68 CAS-1),36122,,,435.790,CW,BJ1SA,active
XW-2A (CAS-3A),40903,435.030-435.050,145.685-145.665,145.640/145.660,9k6/19k2 GMSK/CW*,BJ1SB,active
XW-2B (CAS-3B),40911,435.090-435.110,145.750-145.730,145.705/145.725,9k6/19k2 GMSK/CW*,BJ1SC,active
XW-2C (CAS-3C),40906,435.150-435.170,145.815-145.795,145.770/145.790,9k6/19k2 GMSK/CW*,BJ1SD,active
XW-2D (CAS-3D),40907,435.210-435.230,145.880-145.860,145.835/145.855,9k6/19k2 GMSK/CW*,BJ1SE,active
XW-2E (CAS-3E),40909,435.270-435.290,145.935-145.915,145.890/145.910,9k6 GMSK/CW*,BJ1SF,active
XW-2F (CAS-3F),40910,435.330-435.350,146.000-145.980,145.955/145.975,9k6 GMSK/CW*,BJ1SG,active
XW-3 (CAS-9 HO-113),50466,145.870,435.180,,VHF/UHF SSB*,,active
XW-3 (CAS-9 HO-113),50466,,,435.575,UHF CW*,,active
XW-3 (CAS-9 HO-113),50466,,435.725,,4k8*GMSK telemetry,CAS9,active
Yarilo-1,46490,,435.350,,,,active
Yarilo-2,46490,,435.550,,,,active
YUSAT-1,47439,145.825,436.250,,1k2AFSK/9k6GMSK,BN0YS,inactive
ZACube-1,39417,145.860,437.355,14.099,1k2AFSK/9k6* GMSK CW,123456,active
ZACube-2,43907,437.525/1260.250,437.345/2405.000,14.099,9600bps FSK,,unknown
ZA-AeroSat(AZ01),42713,,437.195,,9600bps GMSK,ON01AZ,inactive
Zhou Enlai (Huai'An-1 HA-1),43156,145.930,436.950,437.350/437.644*,FM 9600bps BPSK,BI4ST,active
ZimSat-1,,,145.825/435.375,435.375,4800bps GMSK CW,,to be launched
Z-Sat,49399,435.480,145.875,145.875,9k6GMSK FM CW*,JJ2YPO,active
